iter	Passed	Remaining
176	234	1090
177	235	1085
178	235	1080
179	236	1075
180	236	1070
181	237	1065
182	237	1061
183	238	1056
184	238	1052
185	239	1047
186	239	1043
187	240	1038
188	240	1034
189	241	1029
190	242	1025
191	242	1020
192	243	1016
193	243	1012
194	244	1008
195	244	1004
196	245	999
197	245	995
198	246	991
199	246	987
200	247	983
201	247	979
202	248	975
203	249	971
204	249	967
205	250	963
206	250	960
207	251	956
208	251	952
209	252	949
210	252	945
211	253	941
212	253	938
213	254	934
214	255	931
215	255	927
216	256	924
217	256	920
218	257	917
219	257	913
220	258	910
221	258	907
222	259	903
223	259	900
224	260	896
225	260	893
226	261	890
227	262	887
228	262	884
229	263	881
230	263	878
231	264	875
232	264	872
233	265	869
234	266	866
235	266	863
236	267	860
237	267	857
238	268	854
239	268	851
240	269	848
241	269	845
242	270	842
243	271	839
244	271	836
245	272	834
246	272	831
247	273	828
248	273	825
249	274	823
250	274	820
251	275	817
252	276	815
253	276	812
254	277	809
255	277	806
256	278	803
257	278	801
258	279	798
259	279	795
260	280	793
261	280	790
262	281	788
263	281	785
264	282	782
265	282	780
266	283	777
267	283	775
268	284	772
269	284	769
270	285	767
271	285	765
272	286	763
273	287	760
274	287	758
275	288	756
276	288	753
277	289	751
278	289	749
279	290	746
280	290	744
281	291	742
282	291	739
283	292	737
284	292	735
285	293	732
286	294	730
287	294	728
288	295	726
289	295	723
290	296	721
291	296	719
292	297	717
293	297	715
294	298	712
295	298	710
296	299	708
297	299	706
298	300	704
299	301	702
300	301	700
301	302	698
302	302	696
303	303	694
304	303	692
305	304	690
306	304	688
307	305	685
308	305	684
309	306	681
310	306	679
311	307	677
312	307	675
313	308	674
314	309	672
315	309	670
316	310	668
317	310	666
318	311	664
319	311	662
320	312	660
321	312	659
322	313	657
323	314	655
324	314	653
325	315	651
326	315	649
327	316	647
328	316	646
329	317	644
330	317	642
331	318	640
332	318	638
333	319	637
334	320	635
335	320	633
336	321	631
337	321	629
338	322	628
339	322	626
340	323	624
341	323	623
342	324	621
343	324	619
344	325	617
345	326	616
346	326	614
347	327	612
348	327	611
349	328	609
350	328	607
351	329	605
352	329	604
353	330	602
354	330	600
355	331	599
356	331	597
357	332	596
358	332	594
359	333	592
360	334	591
361	334	589
362	335	588
363	335	586
364	336	585
365	336	583
366	337	581
367	337	580
368	338	578
369	338	577
370	339	575
371	340	574
372	340	572
373	341	570
374	341	569
375	342	567
376	342	566
377	343	564
378	343	563
379	344	561
380	344	560
381	345	558
382	346	557
383	346	556
384	347	554
385	347	553
386	348	551
387	348	550
388	349	548
389	349	547
390	350	545
391	351	544
392	351	542
393	352	541
394	352	540
395	353	538
396	353	537
397	354	535
398	354	534
399	355	532
400	355	531
401	356	530
402	356	528
403	357	527
404	358	526
405	358	524
406	359	523
407	359	521
408	360	520
409	360	519
410	361	517
411	361	516
412	362	515
413	362	513
414	363	512
415	364	511
416	364	509
417	365	508
418	365	507
419	366	505
420	366	504
421	367	503
422	367	501
423	368	500
424	368	499
425	369	497
426	370	496
427	370	495
428	371	494
429	371	492
430	372	491
431	372	490
432	373	488
433	373	487
434	374	486
435	374	485
436	375	483
437	376	482
438	376	481
439	377	479
440	377	478
441	378	477
442	378	476
443	379	474
444	379	473
445	380	472
446	380	471
447	381	469
448	382	468
449	382	467
450	383	466
451	383	465
452	384	464
453	384	462
454	385	461
455	386	460
456	386	459
457	387	458
458	387	456
459	388	455
460	388	454
461	389	453
462	389	451
463	390	450
464	390	449
465	391	448
466	391	447
467	392	445
468	392	444
469	393	443
470	393	442
471	394	441
472	394	440
473	395	438
474	396	437
475	396	436
476	397	435
477	397	434
478	398	433
479	398	431
480	399	430
481	399	429
482	400	428
483	400	427
484	401	425
485	401	424
486	401	423
487	402	422
488	402	421
489	403	419
490	403	418
491	404	417
492	404	416
493	405	415
494	405	414
495	406	413
496	406	411
497	407	410
